Issue ID,First Observed,Last Observed,CVE,Vulnerability,domain,Certificate Common Name,ipAddress,ipAddresses,hostname,port,email,productName,productVersion,Domain,IP Address,Port,Last Observed Open,banner,Data,source,url,explanation,vulnerabilityDescription,vulnerabilityPublishDate,Last Observed
3da21b50-46b2-5388-b1b8-c7ac2a5fa0c6,,,,CVE-2016-0777,,,,,,,,,,,192.86.139.65,22,2020-01-13T00:45:11.342Z,,,,,,"The resend_bytes function in roaming_common.c in the client in OpenSSH 5.x, 6.x, and 7.x before 7.1p2 allows remote servers to obtain sensitive information from process memory by requesting transmission of an entire buffer, as demonstrated by reading a private key.",2016-04-01T04:00:00.000Z,
faa2c746-2453-5e61-9ab1-4542f002d315,,,,CVE-2016-0777,,,,,,,,,,,192.86.139.66,22,2020-01-12T21:31:18.816Z,,,,,,"The resend_bytes function in roaming_common.c in the client in OpenSSH 5.x, 6.x, and 7.x before 7.1p2 allows remote servers to obtain sensitive information from process memory by requesting transmission of an entire buffer, as demonstrated by reading a private key.",2016-04-01T04:00:00.000Z,
3d5e370f-066f-56f9-b84b-6ce539698aed,,,,CVE-2015-3183,,,,,,,,,,,128.122.4.238,443,2020-01-12T09:33:25.000Z,,,,,,"The chunked transfer coding implementation in the Apache HTTP Server before 2.4.14 does not properly parse chunk headers, which allows remote attackers to conduct HTTP request smuggling attacks via a crafted request, related to mishandling of large chunk-size values and invalid chunk-extension characters in modules/http/http_filters.c.",2015-07-20T04:00:00.000Z,
5179d470-4c84-5fbf-b486-4587a99265df,,,,CVE-2014-0226,,,,,,,,,,,128.122.4.238,443,2020-01-12T09:33:25.000Z,,,,,,"Race condition in the mod_status module in the Apache HTTP Server before 2.4.10 allows remote attackers to cause a denial of service (heap-based buffer overflow), or possibly obtain sensitive credential information or execute arbitrary code, via a crafted request that triggers improper scoreboard handling within the status_handler function in modules/generators/mod_status.c and the lua_ap_scoreboard_worker function in modules/lua/lua_request.c.",2014-07-20T04:00:00.000Z,
cc1806a6-380b-5257-b28c-d5f44742ee93,,,,CVE-2016-8743,,,,,,,,,,,128.122.4.238,443,2020-01-12T09:33:25.000Z,,,,,,"Apache HTTP Server, in all releases prior to 2.2.32 and 2.4.25, was liberal in the whitespace accepted from requests and sent in response lines and headers. Accepting these different behaviors represented a security concern when httpd participates in any chain of proxies or interacts with back-end application servers, either through mod_proxy or using conventional CGI mechanisms, and may result in request smuggling, response splitting and cache pollution.",2017-07-27T04:00:00.000Z,
d9269598-efd8-5396-8517-da0e5bbc0d44,,,,CVE-2015-3185,,,,,,,,,,,128.122.4.238,443,2020-01-12T09:33:25.000Z,,,,,,"The ap_some_auth_required function in server/request.c in the Apache HTTP Server 2.4.x before 2.4.14 does not consider that a Require directive may be associated with an authorization setting rather than an authentication setting, which allows remote attackers to bypass intended access restrictions in opportunistic circumstances by leveraging the presence of a module that relies on the 2.2 API behavior.",2015-07-20T04:00:00.000Z,
9c096933-9c2d-57c3-8432-ecea5fcb8852,,,,CVE-2017-7529,,,,,,,,,,,34.193.12.206,443,2020-01-12T09:02:31.000Z,,,,,,Nginx versions since 0.5.6 up to and including 1.13.2 are vulnerable to integer overflow vulnerability in nginx range filter module resulting into leak of potentially sensitive information triggered by specially crafted request.,2017-07-13T04:00:00.000Z,
7566d891-c443-5588-b0f0-a8debf78a852,,,,CVE-2014-0226,,,,,,,,,,,128.122.120.72,443,2020-01-12T01:56:40.000Z,,,,,,"Race condition in the mod_status module in the Apache HTTP Server before 2.4.10 allows remote attackers to cause a denial of service (heap-based buffer overflow), or possibly obtain sensitive credential information or execute arbitrary code, via a crafted request that triggers improper scoreboard handling within the status_handler function in modules/generators/mod_status.c and the lua_ap_scoreboard_worker function in modules/lua/lua_request.c.",2014-07-20T04:00:00.000Z,
ae05b8cd-49da-5ed8-ab43-f9e76beb2aac,,,,CVE-2015-0232,,,,,,,,,,,128.122.120.72,443,2020-01-12T01:56:40.000Z,,,,,,"The exif_process_unicode function in ext/exif/exif.c in PHP before 5.4.37, 5.5.x before 5.5.21, and 5.6.x before 5.6.5 allows remote attackers to execute arbitrary code or cause a denial of service (uninitialized pointer free and application crash) via crafted EXIF data in a JPEG image.",2015-01-27T05:00:00.000Z,
c5754868-a7a3-5e95-ad2c-c23d0eea4051,,,,CVE-2014-3670,,,,,,,,,,,128.122.120.72,443,2020-01-12T01:56:40.000Z,,,,,,"The exif_ifd_make_value function in exif.c in the EXIF extension in PHP before 5.4.34, 5.5.x before 5.5.18, and 5.6.x before 5.6.2 operates on floating-point arrays incorrectly, which allows remote attackers to cause a denial of service (heap memory corruption and application crash) or possibly execute arbitrary code via a crafted JPEG image with TIFF thumbnail data that is improperly handled by the exif_thumbnail function.",2014-10-29T04:00:00.000Z,
