Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,ipAddress,ipAddresses,hostname,port,email,productName,productVersion,Certificate Common Name,Collection Target,Port,banner,Data,source,url,explanation,vulnerabilityDescription,vulnerabilityPublishDate,Last Observed,Last Observed
e1d42b6a-c0ca-5b3b-9a8b-f0f23df6dcdb,,,,,,,,,,,,,api.nyu.edu,34.237.231.189,443,,,,,,,,,2020-03-11T22:35:38.846Z
9eba8280-ca1e-5c17-87e7-140169617d70,,,,,,,,,,,,,intake24.abudhabi.nyu.edu,91.230.41.40,443,,,,,,,,,2020-03-11T21:44:02.606Z
a2c72c3c-859e-56a1-8188-93546cca05e0,,,,,,,,,,,,,events.shanghai.nyu.edu,13.231.227.172,443,,,,,,,,,2020-03-11T16:28:46.273Z
e85dd7ba-7c0a-5044-92ab-bf12ba24a171,,,,,,,,,,,,,xbnews.abudhabi.nyu.edu,91.230.41.26,443,,,,,,,,,2020-03-11T15:59:13.671Z
7ee8bc76-493e-56a2-8df3-efb40d65bacb,,,,,,,,,,,,,sandbox.api.it.nyu.edu,35.169.42.80,443,,,,,,,,,2020-03-11T13:52:14.905Z
429fc147-9938-52a0-b40f-7b2e723cebb0,,,,,,,,,,,,,token.idm.home.nyu.edu,34.231.72.14,443,,,,,,,,,2020-03-11T13:31:28.851Z
d088d035-9430-5af6-b488-5b564037002e,,,,,,,,,,,,,maps-public.geo.nyu.edu,52.3.70.94,443,,,,,,,,,2020-03-11T07:38:02.383Z
1a0c1029-0825-55b4-acb2-1164d185a39e,,,,,,,,,,,,,devitwikis.nyu.edu,199.119.125.133,443,,,,,,,,,2020-03-11T07:15:13.767Z
8072d943-3214-59ca-a5f7-0cb038d7e56a,,,,,,,,,,,,,ssl714082.cloudflaressl.com,104.16.35.237,8443,,,,,,,,,2020-03-11T01:31:37.575Z
ab3aec14-5e47-595d-ba90-db0f445b7aaa,,,,,,,,,,,,,ssl714082.cloudflaressl.com,104.16.39.237,8443,,,,,,,,,2020-03-10T23:56:28.700Z
d6dab33e-1242-5261-9f83-8bb73c93d7cc,,,,,,,,,,,,,spark.stern.nyu.edu,107.22.255.58,443,,,,,,,,,2020-03-10T22:05:28.701Z
73425270-fe38-5457-a799-1c9000210e28,,,,,,,,,,,,,giRFUjeGvcwauUmQuEfuixyiagIluKnaJILwxrFL.nyu.edu,64.227.10.175,443,,,,,,,,,2020-03-10T21:54:45.059Z
08140dbb-fdb4-5fab-a4e6-7b4e1c8c0300,,,,,,,,,,,,,ssl714082.cloudflaressl.com,104.16.36.237,8443,,,,,,,,,2020-03-10T17:35:43.898Z
dd8b5afb-8fdd-5d32-8891-56a6b3a25651,,,,,,,,,,,,,ssl714082.cloudflaressl.com,104.16.38.237,8443,,,,,,,,,2020-03-10T17:33:17.050Z
7bf355e0-a10d-5d96-a40a-4a6b79eb4d40,,,,,,,,,,,,,ssl714082.cloudflaressl.com,104.16.37.237,8443,,,,,,,,,2020-03-10T15:39:53.363Z
ed9b0af2-cfca-55b6-a189-22415e5a0579,,,,,,,,,,,,,mail.bottou.org,216.165.22.6,995,,,,,,,,,2020-03-10T07:56:09.511Z
55bb6d32-111b-59ec-bade-dcfbfe1fdccf,,,,,,,,,,,,,mail.bottou.org,216.165.22.6,993,,,,,,,,,2020-03-09T22:46:27.955Z
d1477a8e-f779-5f98-b1f9-df5e3a5fc5c7,,,,,,,,,,,,,*.med.nyu.edu,216.165.125.215,443,,,,,,,,,2020-03-08T02:46:58.334Z
b33fdc25-ea62-53e5-bce4-42ff4d7bf819,,,,,,,,,,,,,w4-test.stern.nyu.edu,128.122.130.6,443,,,,,,,,,2020-03-08T02:44:16.991Z
d5ce1d7c-ad6c-5e97-8247-2a52ccdd84f6,,,,,,,,,,,,,w4.stern.nyu.edu,128.122.130.29,443,,,,,,,,,2020-03-08T02:35:34.359Z
f96f436d-0a98-5f0a-a90f-368865707c7f,,,,,,,,,,,,,dev-sites.dlib.nyu.edu,128.122.108.64,443,,,,,,,,,2020-03-08T02:13:05.520Z
057c3cf0-b496-5b3b-b5d2-f61c63c11df4,,,,,,,,,,,,,ssl714082.cloudflaressl.com,104.16.36.237,443,,,,,,,,,2020-03-07T23:21:32.549Z
41091a3a-bd44-5692-a500-3e5e864a666f,,,,,,,,,,,,,datepalmgenomehub.abudhabi.nyu.edu,91.230.41.11,443,,,,,,,,,2020-03-07T22:19:14.809Z
0081ea04-6340-55fb-abce-25430a8d0a60,,,,,,,,,,,,,secure-usea1-1.tessituranetwork.com,54.173.20.118,443,,,,,,,,,2020-03-07T18:59:46.403Z
942eb8d4-a8d7-54ee-bc49-d58f8526d45b,,,,,,,,,,,,,cds1.cvent.com,192.190.92.31,443,,,,,,,,,2020-03-07T16:16:50.904Z
a6fbe480-b619-5068-a107-3795910f0ef7,,,,,,,,,,,,,web1.library.nyu.edu,128.122.149.60,443,,,,,,,,,2020-03-07T15:53:00.755Z
