Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,ipAddress,ipAddresses,hostname,port,email,productName,productVersion,Certificate Common Name,Certificate Authority,Start Date,Expiration Date,Collection Target,Port,banner,Data,source,url,explanation,vulnerabilityDescription,vulnerabilityPublishDate,Last Observed,Last Observed
c69870eb-00c1-5195-becb-2b1b1ec4617b,,,,,,,,,,,,,jssanimosx.filmtv.tsoa.nyu.edu,,2019-01-23T22:35:10.000Z,2020-01-24T22:35:10.000Z,128.122.100.101,8443,,,,,,,,,2020-03-11T02:13:18.081Z
7da3e3c8-cd0e-57b4-95a7-aa3a46a0e0d6,,,,,,,,,,,,,its0115-elap-v.cfs.its.nyu.edu,Internet2,2016-06-16T04:00:00.000Z,2019-06-16T23:59:59.000Z,128.122.194.189,8443,,,,,,,,,2020-03-10T23:38:16.324Z
835cd34f-f6e4-5214-8740-840166ec23ca,,,,,,,,,,,,,spark.stern.nyu.edu,Internet2,2014-12-15T05:00:00.000Z,2017-12-14T23:59:59.000Z,107.22.255.58,443,,,,,,,,,2020-03-10T22:05:28.701Z
29250785-e34d-5262-839e-8af1c236b4fc,,,,,,,,,,,,,hyper.ifa.nyu.edu,Internet2,2013-10-02T04:00:00.000Z,2015-10-02T23:59:59.000Z,128.122.65.146,8443,,,,,,,,,2020-03-10T15:25:20.465Z
ff69df4a-a5e8-5312-ad04-fb9b66768f91,,,,,,,,,,,,,nomad.noc.nyu.edu,Internet2,2014-12-16T05:00:00.000Z,2017-12-15T23:59:59.000Z,128.122.253.9,995,,,,,,,,,2020-03-10T03:18:47.371Z
09961149-d0f4-5f1c-b3cd-58d8ba312d7a,,,,,,,,,,,,,nomad.noc.nyu.edu,Internet2,2014-12-16T05:00:00.000Z,2017-12-15T23:59:59.000Z,128.122.253.9,993,,,,,,,,,2020-03-09T18:05:01.236Z
4a2751d0-b2a3-50f0-b05f-e5c095eb5b3a,,,,,,,,,,,,,hyper.ifa.nyu.edu,Internet2,2013-10-02T04:00:00.000Z,2015-10-02T23:59:59.000Z,128.122.65.146,636,,,,,,,,,2020-03-09T03:42:57.176Z
e9bcb0b5-65af-542a-a4d6-cd173964728a,,,,,,,,,,,,,nomad.noc.nyu.edu,Internet2,2014-12-16T05:00:00.000Z,2017-12-15T23:59:59.000Z,128.122.253.9,465,,,,,,,,,2020-03-08T08:51:31.256Z
9bebdf6e-79bb-5707-a1e0-fe658abaf251,,,,,,,,,,,,,applicant-stg.stern.nyu.edu,Internet2,2016-03-03T05:00:00.000Z,2019-03-03T23:59:59.000Z,128.122.130.9,443,,,,,,,,,2020-03-08T02:47:55.880Z
320f4256-3489-5067-8654-ad37c79bd0f8,,,,,,,,,,,,,execed-proxy.stern.nyu.edu,New York University,2017-09-14T15:50:00.000Z,2018-09-14T15:50:00.000Z,128.122.130.23,443,,,,,,,,,2020-03-08T02:45:25.140Z
4fea9d7e-85f1-5f3f-a5cd-42128d515dce,,,,,,,,,,,,,datafacility.cusp.nyu.edu,Internet2,2016-12-13T05:00:00.000Z,2019-12-13T23:59:59.000Z,128.122.72.213,443,,,,,,,,,2020-03-07T18:14:36.263Z
08cc57d6-bdc7-578a-b71f-ffdf7032a7d8,,,,,,,,,,,,,its0115-elap-v.cfs.its.nyu.edu,Internet2,2016-06-16T04:00:00.000Z,2019-06-16T23:59:59.000Z,128.122.194.189,443,,,,,,,,,2020-03-07T10:25:01.824Z
971a0ab2-ce56-54a3-93ae-1bc169d67d39,,,,,,,,,,,,,video.cims.nyu.edu,Internet2,2016-01-19T05:00:00.000Z,2019-01-18T23:59:59.000Z,128.122.49.114,443,,,,,,,,,2020-03-07T08:38:49.342Z
3843bf39-981d-59d5-92ca-e383e96ba837,,,,,,,,,,,,,deploy.nursing.nyu.edu,Internet2,2015-11-11T05:00:00.000Z,2018-11-10T23:59:59.000Z,35.162.144.185,443,,,,,,,,,2020-03-07T03:31:46.520Z
42898128-a09a-5b45-bfbb-1066fbfa7a1e,,,,,,,,,,,,,shanghai.nyu.edu,Internet2,2016-05-06T04:00:00.000Z,2017-05-06T23:59:59.000Z,52.196.122.61,443,,,,,,,,,2020-03-07T01:00:05.440Z
261ac93a-a8c2-566f-bc86-f72873bf17e9,,,,,,,,,,,,,cauchy.cns.nyu.edu,New York University,2014-11-19T00:45:09.000Z,2017-11-18T00:45:09.000Z,128.122.112.30,443,,,,,,,,,2020-03-07T00:40:58.049Z
eea6d932-8a75-55d0-874c-4de03a6ebf72,,,,,,,,,,,,,doc.bio.nyu.edu,Internet2,2012-05-29T04:00:00.000Z,2015-05-29T23:59:59.000Z,128.122.4.25,443,,,,,,,,,2020-03-07T00:26:09.337Z
0782c364-ad31-587d-86a7-520cf2f632bf,,,,,,,,,,,,,aclmanager.nyu.edu,Internet2,2015-02-10T05:00:00.000Z,2018-02-09T23:59:59.000Z,128.122.128.72,443,,,,,,,,,2020-03-07T00:14:50.036Z
db36a18f-048b-5bf2-a2f4-c8b87ed4e236,,,,,,,,,,,,,netmon.noc.nyu.edu,Internet2,2015-01-28T05:00:00.000Z,2018-01-27T23:59:59.000Z,128.122.128.45,443,,,,,,,,,2020-03-06T23:56:01.343Z
0e541699-8708-5295-ac88-42e129d2f258,,,,,,,,,,,,,engineering.nyu.edu,SomeOrganization,2015-04-27T15:17:12.000Z,2016-04-26T15:17:12.000Z,52.5.55.254,443,,,,,,,,,2020-03-06T23:54:45.863Z
f3883557-64c1-5464-a892-e24a8eb962fa,,,,,,,,,,,,,cue2.engineering.nyu.edu,,2015-08-07T19:56:11.000Z,2016-08-07T20:16:11.000Z,216.165.117.5,443,,,,,,,,,2020-03-06T22:47:01.461Z
08c6ed20-6df5-51eb-bf4c-40c9042539e0,,,,,,,,,,,,,aquila.bio.nyu.edu,New York University,2010-03-03T23:10:43.000Z,2010-04-02T23:10:43.000Z,128.122.4.26,443,,,,,,,,,2020-03-06T21:46:54.048Z
01505d5f-7981-57fe-a98d-847111bb8d10,,,,,,,,,,,,,request.bio.nyu.edu,Internet2,2015-04-17T04:00:00.000Z,2018-04-16T23:59:59.000Z,128.122.4.45,443,,,,,,,,,2020-03-06T21:39:39.722Z
